map_id,opportunity_districts,democrat_count,republican_count,median_margin,num_districts,X Value,Y Value
137,3,6,8,-0.1,14,207.15,174.8
138,2,7,7,-0.01,14,130.22,226.83
139,4,8,6,0.02,14,178.14,260.32
140,2,4,10,-0.07,14,146.44,110.12
141,3,6,8,-0.04,14,167.92,219.62
142,2,5,9,-0.06,14,110.4,148.69
143,3,6,8,-0.1,14,207.15,174.8
144,2,6,8,-0.11,14,162.0,168.45
145,3,6,8,-0.06,14,172.0,212.33
146,3,5,9,-0.06,14,152.54,155.81
147,3,6,8,-0.1,14,207.15,174.8
148,3,7,7,-0.03,14,171.41,232.53
149,2,5,9,-0.09,14,138.87,108.09
150,3,5,9,-0.12,14,177.61,122.33
151,4,6,8,-0.06,14,184.19,210.86
152,3,7,7,-0.04,14,173.57,228.91
153,3,5,9,-0.12,14,177.61,122.33
154,4,6,8,-0.06,14,184.19,210.86
155,2,6,8,-0.08,14,168.95,158.44
156,3,5,9,-0.1,14,182.7,117.87
157,2,6,8,-0.1,14,165.01,164.94
158,4,6,8,-0.04,14,179.94,218.26
159,2,4,10,-0.06,14,116.7,159.88
160,3,5,9,-0.06,14,152.54,155.81
161,3,5,9,-0.09,14,184.92,115.37
162,2,6,8,-0.05,14,131.5,205.21
163,2,5,9,-0.06,14,110.4,148.69
164,3,5,9,-0.07,14,188.85,110.0
165,3,4,10,-0.1,14,187.84,125.0
166,2,5,9,-0.12,14,131.3,118.83
167,2,5,9,-0.06,14,110.4,148.69
168,2,5,9,-0.09,14,138.87,108.09
169,3,4,10,-0.1,14,187.84,125.0
170,2,5,9,-0.08,14,140.91,104.45
171,4,6,8,-0.09,14,221.87,172.18
172,4,6,8,-0.07,14,225.03,168.09
173,2,7,7,-0.0,14,128.53,230.41
174,3,6,8,-0.06,14,172.0,212.33
175,3,6,8,-0.06,14,172.0,212.33
176,2,5,9,-0.01,14,103.0,161.97
177,2,4,10,-0.11,14,140.23,124.99
178,3,4,10,-0.07,14,192.81,117.63
179,4,6,8,-0.06,14,184.19,210.86
180,2,6,8,-0.01,14,125.11,219.18
181,2,6,8,-0.06,14,133.41,201.75
